time-date stamp,Date,"ERCOT Load, MW","Total Wind Output, MW","Total Wind Installed, MW","Wind Output, % of Load","Wind Output, % of Installed",1-hr MW change,1-hr % change
1/3/15 2:00,3-Jan,34535,544,12730,1.6,4.3,-234,-30.1
1/3/15 3:00,3-Jan,34240,566,12730,1.7,4.4,22,4.1
1/3/15 4:00,3-Jan,33950,406,12730,1.2,3.2,-160,-28.3
1/3/15 5:00,3-Jan,34499,271,12730,0.8,2.1,-135,-33.2
1/3/15 6:00,3-Jan,35596,316,12730,0.9,2.5,45,16.5
1/3/15 7:00,3-Jan,36990,435,12730,1.2,3.4,119,37.7
1/3/15 8:00,3-Jan,38062,607,12730,1.6,4.8,172,39.6
1/3/15 9:00,3-Jan,39345,767,12730,2,6,160,26.3
1/3/15 10:00,3-Jan,39857,1097,12730,2.8,8.6,330,42.9
1/3/15 11:00,3-Jan,39181,1841,12730,4.7,14.5,744,67.8
1/3/15 12:00,3-Jan,38234,2995,12730,7.8,23.5,1154,62.7
1/3/15 13:00,3-Jan,36631,3853,12730,10.5,30.3,858,28.7
1/3/15 14:00,3-Jan,34742,4306,12730,12.4,33.8,454,11.8
1/3/15 15:00,3-Jan,33466,4655,12730,13.9,36.6,349,8.1
1/3/15 16:00,3-Jan,32565,4653,12730,14.3,36.6,-2,-0.1
1/3/15 17:00,3-Jan,32836,4078,12730,12.4,32,-574,-12.3
1/3/15 18:00,3-Jan,36280,3120,12730,8.6,24.5,-959,-23.5
1/3/15 19:00,3-Jan,37761,3477,12730,9.2,27.3,357,11.4
1/3/15 20:00,3-Jan,38138,3861,12730,10.1,30.3,384,11
1/3/15 21:00,3-Jan,38259,4485,12730,11.7,35.2,624,16.2
1/3/15 22:00,3-Jan,37662,4532,12730,12,35.6,47,1
1/3/15 23:00,3-Jan,36855,4710,12730,12.8,37,178,3.9
1/4/15 0:00,4-Jan,35322,4980,12730,14.1,39.1,269,5.7
1/4/15 1:00,4-Jan,34720,5325,12730,15.3,41.8,345,6.9
1/4/15 2:00,4-Jan,34426,5785,12730,16.8,45.4,461,8.6
1/4/15 3:00,4-Jan,34408,5616,12730,16.3,44.1,-169,-2.9
1/4/15 4:00,4-Jan,34794,6085,12730,17.5,47.8,469,8.3
1/4/15 5:00,4-Jan,35700,6076,12730,17,47.7,-9,-0.1
1/4/15 6:00,4-Jan,37289,6090,12730,16.3,47.8,14,0.2
1/4/15 7:00,4-Jan,39339,5826,12730,14.8,45.8,-264,-4.3
1/4/15 8:00,4-Jan,40718,5837,12730,14.3,45.8,11,0.2
1/4/15 9:00,4-Jan,41115,5595,12730,13.6,44,-241,-4.1
1/4/15 10:00,4-Jan,41121,4458,12730,10.8,35,-1137,-20.3
1/4/15 11:00,4-Jan,40313,3033,12730,7.5,23.8,-1425,-32
1/4/15 12:00,4-Jan,39418,2092,12730,5.3,16.4,-941,-31
1/4/15 13:00,4-Jan,38347,1751,12730,4.6,13.8,-341,-16.3
1/4/15 14:00,4-Jan,37130,1167,12730,3.1,9.2,-584,-33.3
1/4/15 15:00,4-Jan,36363,897,12730,2.5,7,-270,-23.1
1/4/15 16:00,4-Jan,35992,688,12730,1.9,5.4,-209,-23.3
1/4/15 17:00,4-Jan,37287,657,12730,1.8,5.2,-32,-4.6
1/4/15 18:00,4-Jan,41671,782,12730,1.9,6.1,125,19
1/4/15 19:00,4-Jan,43614,1287,12730,3,10.1,505,64.6
1/4/15 20:00,4-Jan,44656,1723,12730,3.9,13.5,436,33.9
1/4/15 21:00,4-Jan,44649,2412,12730,5.4,18.9,688,40
1/4/15 22:00,4-Jan,43622,3049,12730,7,24,638,26.4
1/4/15 23:00,4-Jan,42035,3416,12730,8.1,26.8,366,12
1/5/15 0:00,5-Jan,40659,3531,12730,8.7,27.7,116,3.4
1/5/15 1:00,5-Jan,40189,3863,12730,9.6,30.3,332,9.4
1/5/15 2:00,5-Jan,40229,4175,12730,10.4,32.8,312,8.1
1/5/15 3:00,5-Jan,40879,4243,12730,10.4,33.3,68,1.6
1/5/15 4:00,5-Jan,42092,4578,12730,10.9,36,335,7.9
1/5/15 5:00,5-Jan,44230,4761,12730,10.8,37.4,183,4
1/5/15 6:00,5-Jan,48344,4481,12730,9.3,35.2,-280,-5.9
1/5/15 7:00,5-Jan,51934,4261,12730,8.2,33.5,-221,-4.9
1/5/15 8:00,5-Jan,51779,4580,12730,8.8,36,320,7.5
1/5/15 9:00,5-Jan,50425,3710,12730,7.4,29.1,-871,-19
1/5/15 10:00,5-Jan,48654,3406,12730,7,26.8,-304,-8.2
1/5/15 11:00,5-Jan,46254,3605,12730,7.8,28.3,199,5.9
1/5/15 12:00,5-Jan,43856,4012,12730,9.1,31.5,407,11.3
1/5/15 13:00,5-Jan,41468,4601,12730,11.1,36.1,589,14.7
1/5/15 14:00,5-Jan,39742,5559,12730,14,43.7,958,20.8
1/5/15 15:00,5-Jan,38343,6029,12730,15.7,47.4,469,8.4
1/5/15 16:00,5-Jan,37838,6064,12730,16,47.6,36,0.6
1/5/15 17:00,5-Jan,38893,6301,12730,16.2,49.5,237,3.9
1/5/15 18:00,5-Jan,43287,7690,12730,17.8,60.4,1389,22
1/5/15 19:00,5-Jan,45435,8381,12730,18.4,65.8,691,9
1/5/15 20:00,5-Jan,45684,8566,12730,18.8,67.3,185,2.2
1/5/15 21:00,5-Jan,45418,8621,12730,19,67.7,55,0.6
1/5/15 22:00,5-Jan,43678,7959,12730,18.2,62.5,-662,-7.7
1/5/15 23:00,5-Jan,40937,7653,12730,18.7,60.1,-306,-3.8
1/6/15 0:00,6-Jan,39073,7471,12730,19.1,58.7,-182,-2.4
1/6/15 1:00,6-Jan,38036,6881,12730,18.1,54.1,-590,-7.9
1/6/15 2:00,6-Jan,37806,6525,12730,17.3,51.3,-356,-5.2
1/6/15 3:00,6-Jan,38050,5944,12730,15.6,46.7,-581,-8.9
1/6/15 4:00,6-Jan,38615,5281,12730,13.7,41.5,-664,-11.2
1/6/15 5:00,6-Jan,40442,4626,12730,11.4,36.3,-655,-12.4
1/6/15 6:00,6-Jan,44527,4296,12730,9.6,33.8,-330,-7.1
1/6/15 7:00,6-Jan,48489,3831,12730,7.9,30.1,-466,-10.8
1/6/15 8:00,6-Jan,47055,3213,12730,6.8,25.2,-617,-16.1
1/6/15 9:00,6-Jan,44614,2166,12730,4.9,17,-1048,-32.6
1/6/15 10:00,6-Jan,41896,1319,12730,3.1,10.4,-846,-39.1
1/6/15 11:00,6-Jan,39836,1093,12730,2.7,8.6,-226,-17.2
1/6/15 12:00,6-Jan,37704,909,12730,2.4,7.1,-184,-16.8
1/6/15 13:00,6-Jan,36183,585,12730,1.6,4.6,-324,-35.7
1/6/15 14:00,6-Jan,34874,511,12730,1.5,4,-74,-12.6
1/6/15 15:00,6-Jan,33765,434,12730,1.3,3.4,-78,-15.2
1/6/15 16:00,6-Jan,33765,293,12730,0.9,2.3,-140,-32.4
1/6/15 17:00,6-Jan,34288,267,12730,0.8,2.1,-27,-9.1
1/6/15 18:00,6-Jan,37693,204,12730,0.5,1.6,-62,-23.4
1/6/15 19:00,6-Jan,39291,318,12730,0.8,2.5,114,56
1/6/15 20:00,6-Jan,39268,728,12730,1.9,5.7,409,128.5
1/6/15 21:00,6-Jan,39032,1006,12730,2.6,7.9,278,38.2
1/6/15 22:00,6-Jan,37538,1179,12730,3.1,9.3,174,17.3
1/6/15 23:00,6-Jan,35426,1200,12730,3.4,9.4,20,1.7
1/7/15 0:00,7-Jan,33929,1347,12730,4,10.6,147,12.3
1/7/15 1:00,7-Jan,33270,1197,12730,3.6,9.4,-150,-11.2
1/7/15 2:00,7-Jan,33177,1068,12730,3.2,8.4,-129,-10.7
1/7/15 3:00,7-Jan,33667,1460,12730,4.3,11.5,392,36.7
1/7/15 4:00,7-Jan,34441,2690,12730,7.8,21.1,1229,84.2
1/7/15 5:00,7-Jan,36478,3935,12730,10.8,30.9,1245,46.3
1/7/15 6:00,7-Jan,40709,5347,12730,13.1,42,1412,35.9
1/7/15 7:00,7-Jan,44957,7460,12730,16.6,58.6,2113,39.5
1/7/15 8:00,7-Jan,44086,8562,12730,19.4,67.3,1102,14.8
1/7/15 9:00,7-Jan,43084,8805,12730,20.4,69.2,243,2.8
1/7/15 10:00,7-Jan,42707,8896,12730,20.8,69.9,91,1
1/7/15 11:00,7-Jan,42222,9348,12730,22.1,73.4,452,5.1
1/7/15 12:00,7-Jan,41443,9539,12730,23,74.9,191,2
1/7/15 13:00,7-Jan,41068,9660,12730,23.5,75.9,121,1.3
1/7/15 14:00,7-Jan,40666,9540,12730,23.5,74.9,-120,-1.2
1/7/15 15:00,7-Jan,40502,9625,12730,23.8,75.6,85,0.9
1/7/15 16:00,7-Jan,41345,9602,12730,23.2,75.4,-23,-0.2
1/7/15 17:00,7-Jan,43366,9367,12730,21.6,73.6,-234,-2.4
1/7/15 18:00,7-Jan,48426,8356,12730,17.3,65.6,-1012,-10.8
1/7/15 19:00,7-Jan,50461,6711,12730,13.3,52.7,-1645,-19.7
1/7/15 20:00,7-Jan,51242,6045,12730,11.8,47.5,-665,-9.9
1/7/15 21:00,7-Jan,51173,4749,12730,9.3,37.3,-1296,-21.4
1/7/15 22:00,7-Jan,49839,3647,12730,7.3,28.7,-1101,-23.2
1/7/15 23:00,7-Jan,47631,2952,12730,6.2,23.2,-696,-19.1
1/8/15 0:00,8-Jan,45981,2940,12730,6.4,23.1,-12,-0.4
1/8/15 1:00,8-Jan,45473,3076,12730,6.8,24.2,136,4.6
1/8/15 2:00,8-Jan,45586,2853,12730,6.3,22.4,-223,-7.3
1/8/15 3:00,8-Jan,46023,2680,12730,5.8,21.1,-172,-6
1/8/15 4:00,8-Jan,47048,2620,12730,5.6,20.6,-60,-2.2
1/8/15 5:00,8-Jan,49231,2680,12730,5.4,21.1,60,2.3
1/8/15 6:00,8-Jan,52933,2797,12730,5.3,22,117,4.4
1/8/15 7:00,8-Jan,57219,3599,12730,6.3,28.3,802,28.7
1/8/15 8:00,8-Jan,55720,3980,12730,7.1,31.3,381,10.6
1/8/15 9:00,8-Jan,54035,4017,12730,7.4,31.6,37,0.9
1/8/15 10:00,8-Jan,52577,4322,12730,8.2,34,305,7.6
1/8/15 11:00,8-Jan,50880,4867,12730,9.6,38.2,545,12.6
1/8/15 12:00,8-Jan,49048,5372,12730,11,42.2,504,10.4
1/8/15 13:00,8-Jan,47293,5246,12730,11.1,41.2,-126,-2.3
1/8/15 14:00,8-Jan,46018,5447,12730,11.8,42.8,201,3.8
1/8/15 15:00,8-Jan,44809,4972,12730,11.1,39.1,-475,-8.7
1/8/15 16:00,8-Jan,45224,4453,12730,9.8,35,-520,-10.4
1/8/15 17:00,8-Jan,46709,3874,12730,8.3,30.4,-579,-13
1/8/15 18:00,8-Jan,50593,4661,12730,9.2,36.6,787,20.3
1/8/15 19:00,8-Jan,51654,5418,12730,10.5,42.6,756,16.2
1/8/15 20:00,8-Jan,51431,5058,12730,9.8,39.7,-360,-6.6
1/8/15 21:00,8-Jan,50519,3844,12730,7.6,30.2,-1214,-24
1/8/15 22:00,8-Jan,47991,3180,12730,6.6,25,-664,-17.3
1/8/15 23:00,8-Jan,44987,3101,12730,6.9,24.4,-78,-2.5
1/9/15 0:00,9-Jan,42735,2769,12730,6.5,21.8,-332,-10.7
1/9/15 1:00,9-Jan,41671,2044,12730,4.9,16.1,-726,-26.2
1/9/15 2:00,9-Jan,40960,1985,12730,4.8,15.6,-58,-2.9
1/9/15 3:00,9-Jan,40817,2657,12730,6.5,20.9,671,33.8
1/9/15 4:00,9-Jan,41355,3499,12730,8.5,27.5,843,31.7
1/9/15 5:00,9-Jan,42786,5663,12730,13.2,44.5,2163,61.8
1/9/15 6:00,9-Jan,46161,7200,12730,15.6,56.6,1538,27.2
1/9/15 7:00,9-Jan,49927,7373,12730,14.8,57.9,172,2.4
1/9/15 8:00,9-Jan,49644,7354,12730,14.8,57.8,-18,-0.2
1/9/15 9:00,9-Jan,49546,7108,12730,14.3,55.8,-246,-3.3
1/9/15 10:00,9-Jan,49895,6860,12730,13.7,53.9,-248,-3.5
1/9/15 11:00,9-Jan,50021,6050,12730,12.1,47.5,-809,-11.8
1/9/15 12:00,9-Jan,49446,5358,12730,10.8,42.1,-693,-11.4
1/9/15 13:00,9-Jan,48909,4760,12730,9.7,37.4,-598,-11.2
1/9/15 14:00,9-Jan,48589,4419,12730,9.1,34.7,-341,-7.2
1/9/15 15:00,9-Jan,48441,4073,12730,8.4,32,-346,-7.8
1/9/15 16:00,9-Jan,48942,3876,12730,7.9,30.4,-198,-4.9
1/9/15 17:00,9-Jan,49969,3328,12730,6.7,26.1,-548,-14.1
1/9/15 18:00,9-Jan,52196,3072,12730,5.9,24.1,-256,-7.7
1/9/15 19:00,9-Jan,52029,2668,12730,5.1,21,-403,-13.1
1/9/15 20:00,9-Jan,51178,2417,12730,4.7,19,-251,-9.4
1/9/15 21:00,9-Jan,50224,2444,12730,4.9,19.2,27,1.1
1/9/15 22:00,9-Jan,48546,2382,12730,4.9,18.7,-62,-2.5
1/9/15 23:00,9-Jan,46532,2302,12730,4.9,18.1,-81,-3.4
1/10/15 0:00,10-Jan,44536,2410,12730,5.4,18.9,109,4.7
1/10/15 1:00,10-Jan,43256,2508,12730,5.8,19.7,98,4.1
1/10/15 2:00,10-Jan,42638,2358,12730,5.5,18.5,-150,-6
1/10/15 3:00,10-Jan,42494,2394,12730,5.6,18.8,36,1.5
1/10/15 4:00,10-Jan,42593,2504,12730,5.9,19.7,110,4.6
1/10/15 5:00,10-Jan,43353,2465,12730,5.7,19.4,-40,-1.6
1/10/15 6:00,10-Jan,44381,2413,12730,5.4,19,-51,-2.1
1/10/15 7:00,10-Jan,46227,2465,12730,5.3,19.4,52,2.1
1/10/15 8:00,10-Jan,47336,2843,12730,6,22.3,378,15.3
1/10/15 9:00,10-Jan,48860,2891,12730,5.9,22.7,48,1.7
1/10/15 10:00,10-Jan,49791,3026,12730,6.1,23.8,135,4.7
1/10/15 11:00,10-Jan,49983,3293,12730,6.6,25.9,267,8.8
1/10/15 12:00,10-Jan,49397,3792,12730,7.7,29.8,498,15.1
1/10/15 13:00,10-Jan,48362,4223,12730,8.7,33.2,431,11.4
1/10/15 14:00,10-Jan,47773,4635,12730,9.7,36.4,412,9.8
1/10/15 15:00,10-Jan,47135,4635,12730,9.8,36.4,0,0
1/10/15 16:00,10-Jan,47300,4593,12730,9.7,36.1,-42,-0.9
1/10/15 17:00,10-Jan,47892,4443,12730,9.3,34.9,-149,-3.3
1/10/15 18:00,10-Jan,50066,4231,12730,8.5,33.2,-212,-4.8
1/10/15 19:00,10-Jan,49863,4895,12730,9.8,38.5,664,15.7
1/10/15 20:00,10-Jan,49389,5364,12730,10.9,42.1,469,9.6
1/10/15 21:00,10-Jan,48476,5509,12730,11.4,43.3,145,2.7
1/10/15 22:00,10-Jan,46725,5041,12730,10.8,39.6,-468,-8.5
1/10/15 23:00,10-Jan,44785,4996,12730,11.2,39.2,-45,-0.9
1/11/15 0:00,11-Jan,42888,4983,12730,11.6,39.1,-13,-0.3
1/11/15 1:00,11-Jan,41744,4679,12730,11.2,36.8,-303,-6.1
1/11/15 2:00,11-Jan,40931,4780,12730,11.7,37.6,101,2.2
1/11/15 3:00,11-Jan,40438,4206,12730,10.4,33,-574,-12
1/11/15 4:00,11-Jan,40267,3510,12730,8.7,27.6,-696,-16.5
1/11/15 5:00,11-Jan,40684,2857,12730,7,22.4,-653,-18.6
1/11/15 6:00,11-Jan,41569,2549,12730,6.1,20,-309,-10.8
1/11/15 7:00,11-Jan,42797,2155,12730,5,16.9,-393,-15.4
1/11/15 8:00,11-Jan,43866,2007,12730,4.6,15.8,-149,-6.9
1/11/15 9:00,11-Jan,44745,2224,12730,5,17.5,217,10.8
1/11/15 10:00,11-Jan,45116,1829,12730,4.1,14.4,-395,-17.8
1/11/15 11:00,11-Jan,44327,1723,12730,3.9,13.5,-106,-5.8
1/11/15 12:00,11-Jan,43510,1838,12730,4.2,14.4,116,6.7
1/11/15 13:00,11-Jan,42136,1662,12730,3.9,13.1,-176,-9.6
1/11/15 14:00,11-Jan,41027,1912,12730,4.7,15,249,15
1/11/15 15:00,11-Jan,39363,1939,12730,4.9,15.2,28,1.4
1/11/15 16:00,11-Jan,39208,1704,12730,4.3,13.4,-235,-12.1
1/11/15 17:00,11-Jan,39560,1274,12730,3.2,10,-430,-25.2
1/11/15 18:00,11-Jan,41893,1590,12730,3.8,12.5,316,24.8
1/11/15 19:00,11-Jan,42958,2688,12730,6.3,21.1,1098,69
1/11/15 20:00,11-Jan,42639,3101,12730,7.3,24.4,413,15.4
1/11/15 21:00,11-Jan,41779,3017,12730,7.2,23.7,-85,-2.7
1/11/15 22:00,11-Jan,39996,2963,12730,7.4,23.3,-53,-1.8
1/11/15 23:00,11-Jan,37451,2959,12730,7.9,23.2,-4,-0.1
1/12/15 0:00,12-Jan,35531,2730,12730,7.7,21.4,-229,-7.8
1/12/15 1:00,12-Jan,34503,2880,12730,8.3,22.6,150,5.5
1/12/15 2:00,12-Jan,34216,2418,12730,7.1,19,-462,-16
1/12/15 3:00,12-Jan,34478,3166,12730,9.2,24.9,748,30.9
1/12/15 4:00,12-Jan,35244,4869,12730,13.8,38.2,1703,53.8
1/12/15 5:00,12-Jan,37324,6085,12730,16.3,47.8,1216,25
1/12/15 6:00,12-Jan,41310,7079,12730,17.1,55.6,994,16.3
1/12/15 7:00,12-Jan,45552,7255,12730,15.9,57,176,2.5
1/12/15 8:00,12-Jan,44957,7254,12730,16.1,57,-1,0
1/12/15 9:00,12-Jan,44355,7042,12730,15.9,55.3,-212,-2.9
1/12/15 10:00,12-Jan,44083,6811,12730,15.5,53.5,-231,-3.3
1/12/15 11:00,12-Jan,43844,5808,12730,13.2,45.6,-1003,-14.7
1/12/15 12:00,12-Jan,43194,5082,12730,11.8,39.9,-726,-12.5
1/12/15 13:00,12-Jan,43035,4331,12730,10.1,34,-751,-14.8
1/12/15 14:00,12-Jan,42901,4070,12730,9.5,32,-261,-6
1/12/15 15:00,12-Jan,42698,4197,12730,9.8,33,127,3.1
1/12/15 16:00,12-Jan,43408,4054,12730,9.3,31.8,-143,-3.4
1/12/15 17:00,12-Jan,44862,3725,12730,8.3,29.3,-329,-8.1
1/12/15 18:00,12-Jan,47943,3015,12730,6.3,23.7,-710,-19.1
1/12/15 19:00,12-Jan,48557,2984,12730,6.1,23.4,-31,-1
1/12/15 20:00,12-Jan,48043,2949,12730,6.1,23.2,-36,-1.2
1/12/15 21:00,12-Jan,47128,2757,12730,5.9,21.7,-192,-6.5
1/12/15 22:00,12-Jan,44890,2725,12730,6.1,21.4,-32,-1.2
1/12/15 23:00,12-Jan,42227,2487,12730,5.9,19.5,-238,-8.7
1/13/15 0:00,13-Jan,40045,2419,12730,6,19,-68,-2.7
1/13/15 1:00,13-Jan,39129,2368,12730,6.1,18.6,-51,-2.1
1/13/15 2:00,13-Jan,38735,2265,12730,5.8,17.8,-103,-4.4
1/13/15 3:00,13-Jan,38857,1840,12730,4.7,14.5,-425,-18.8
1/13/15 4:00,13-Jan,39496,1724,12730,4.4,13.5,-116,-6.3
1/13/15 5:00,13-Jan,41325,1732,12730,4.2,13.6,8,0.5
1/13/15 6:00,13-Jan,45357,1535,12730,3.4,12.1,-197,-11.4
1/13/15 7:00,13-Jan,49413,1329,12730,2.7,10.4,-205,-13.4
1/13/15 8:00,13-Jan,48893,1135,12730,2.3,8.9,-194,-14.6
1/13/15 9:00,13-Jan,48373,1523,12730,3.1,12,388,34.2
1/13/15 10:00,13-Jan,48377,1235,12730,2.6,9.7,-288,-18.9
1/13/15 11:00,13-Jan,48060,1038,12730,2.2,8.2,-197,-16
1/13/15 12:00,13-Jan,47288,843,12730,1.8,6.6,-194,-18.7
1/13/15 13:00,13-Jan,46504,693,12730,1.5,5.4,-150,-17.8
1/13/15 14:00,13-Jan,45463,598,12730,1.3,4.7,-95,-13.7
1/13/15 15:00,13-Jan,44994,479,12730,1.1,3.8,-119,-19.9
1/13/15 16:00,13-Jan,45203,429,12730,0.9,3.4,-50,-10.4
1/13/15 17:00,13-Jan,46488,472,12730,1,3.7,43,10
1/13/15 18:00,13-Jan,49509,588,12730,1.2,4.6,116,24.6
1/13/15 19:00,13-Jan,49895,490,12730,1,3.8,-98,-16.7
1/13/15 20:00,13-Jan,49414,400,12730,0.8,3.1,-89,-18.3
1/13/15 21:00,13-Jan,48037,389,12730,0.8,3.1,-11,-2.9
1/13/15 22:00,13-Jan,45506,393,12730,0.9,3.1,5,1.2
1/13/15 23:00,13-Jan,42370,337,12730,0.8,2.6,-56,-14.4
1/14/15 0:00,14-Jan,40296,298,12730,0.7,2.3,-39,-11.6
1/14/15 1:00,14-Jan,38970,313,12730,0.8,2.5,15,5.1
1/14/15 2:00,14-Jan,38487,403,12730,1,3.2,90,28.6
1/14/15 3:00,14-Jan,38548,517,12730,1.3,4.1,114,28.4
1/14/15 4:00,14-Jan,39058,482,12730,1.2,3.8,-35,-6.7
1/14/15 5:00,14-Jan,40946,652,12730,1.6,5.1,170,35.2
1/14/15 6:00,14-Jan,44803,652,12730,1.5,5.1,0,0
1/14/15 7:00,14-Jan,48776,647,12730,1.3,5.1,-5,-0.8
1/14/15 8:00,14-Jan,47763,524,12730,1.1,4.1,-123,-19
1/14/15 9:00,14-Jan,47266,454,12730,1,3.6,-69,-13.2
1/14/15 10:00,14-Jan,46984,442,12730,0.9,3.5,-13,-2.8
1/14/15 11:00,14-Jan,46820,456,12730,1,3.6,14,3.3
1/14/15 12:00,14-Jan,46108,614,12730,1.3,4.8,158,34.6
1/14/15 13:00,14-Jan,45778,654,12730,1.4,5.1,40,6.5
1/14/15 14:00,14-Jan,45212,624,12730,1.4,4.9,-30,-4.6
1/14/15 15:00,14-Jan,45058,560,12730,1.2,4.4,-63,-10.2
1/14/15 16:00,14-Jan,45628,552,12730,1.2,4.3,-8,-1.5
1/14/15 17:00,14-Jan,46682,600,12730,1.3,4.7,48,8.8
1/14/15 18:00,14-Jan,49570,626,12730,1.3,4.9,25,4.2
1/14/15 19:00,14-Jan,49717,691,12730,1.4,5.4,66,10.5
1/14/15 20:00,14-Jan,49164,747,12730,1.5,5.9,56,8.1
1/14/15 21:00,14-Jan,47899,673,12730,1.4,5.3,-74,-9.9
1/14/15 22:00,14-Jan,45332,682,12730,1.5,5.4,9,1.3
1/14/15 23:00,14-Jan,42254,847,12730,2,6.6,164,24.1
1/15/15 0:00,15-Jan,40157,1114,12730,2.8,8.8,268,31.6
1/15/15 1:00,15-Jan,38892,1598,12730,4.1,12.6,484,43.4
1/15/15 2:00,15-Jan,38364,1802,12730,4.7,14.2,204,12.8
1/15/15 3:00,15-Jan,38406,2158,12730,5.6,17,355,19.7
1/15/15 4:00,15-Jan,38940,2519,12730,6.5,19.8,362,16.8
1/15/15 5:00,15-Jan,40724,2730,12730,6.7,21.4,211,8.4
1/15/15 6:00,15-Jan,44738,2639,12730,5.9,20.7,-91,-3.3
1/15/15 7:00,15-Jan,48747,2736,12730,5.6,21.5,97,3.7
1/15/15 8:00,15-Jan,47791,2811,12730,5.9,22.1,75,2.8
1/15/15 9:00,15-Jan,46322,2476,12730,5.3,19.5,-335,-11.9
1/15/15 10:00,15-Jan,44650,1725,12730,3.9,13.6,-751,-30.3
1/15/15 11:00,15-Jan,42809,2434,12730,5.7,19.1,709,41.1
1/15/15 12:00,15-Jan,40815,2446,12730,6,19.2,13,0.5
1/15/15 13:00,15-Jan,39086,2137,12730,5.5,16.8,-309,-12.6
1/15/15 14:00,15-Jan,37672,2007,12730,5.3,15.8,-129,-6.1
1/15/15 15:00,15-Jan,36454,1650,12730,4.5,13,-358,-17.8
